city,country,income_id,pop,msw_generation_tons_year,waste_treatment_advanced_thermal_treatment_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,transportation_distance_km,transportation_distance_km_year,transportation_distance_na,transportation_distance_total_km_day
Jalalabad,Afghanistan,LIC,326585,58914.450000000004,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,1.0455,1.1175,0.0175,84.854,0.08,5.6455,4.9425,0.156,2.1395,NA,NA,NA,NA,NA
Kandahar,Afghanistan,LIC,429000,120971,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,11.6,2.311,0.169,64.364,1.499,9.643,5.929,NA,4.49,NA,NA,NA,NA,NA
Mazar-E-Sharif,Afghanistan,LIC,635250,52368.4,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,50.5,1.32,0.32,28.87,1.69,10.64,3.41,0.18,2.87,NA,NA,NA,NA,NA
Kabul,Afghanistan,LIC,3700000,1989250,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,25,NA,13.5,1,0.5,63,5,11,NA,1,4,80,NA,NA,NA,NA
HiratÂ ,Afghanistan,LIC,337000,91644.7,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,52.94,1.47,0.23,23.05,3.67,12.06,5.39,0.54,0.64,NA,35,NA,NA,NA
Luanda,Angola,LMC,4508000,1316336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,3,43,11,12,NA,1,3,20,NA,NA,NA,NA
Korca,Albania,UMC,51152,21000,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,37,2,2,37,11,11,NA,NA,NA,7,NA,NA,NA,NA
Vlora,Albania,UMC,79513,37955,NA,NA,NA,NA,NA,NA,90,NA,10,NA,NA,NA,40.42,4.47,0.99,24.08,18.94,11.1,NA,NA,NA,7,NA,NA,NA,NA
Abu Dhabi,United Arab Emirates,HIC,1145000,1033543,NA,NA,9,NA,NA,9,62,NA,20,NA,NA,NA,39,4,3,10,25,19,NA,NA,NA,NA,NA,NA,NA,NA
Dubai,United Arab Emirates,HIC,2415000,2689808,NA,NA,NA,NA,NA,NA,NA,NA,25,75,NA,NA,35.42,3.42,2.37,7.55,24.29,24.23,1.67,0.98,NA,NA,NA,NA,NA,NA
CÃ³rdoba,Argentina,HIC,1329604,488735,NA,NA,NA,69.32,NA,NA,30,NA,0.68,NA,NA,NA,35,3,2,15,13,14,NA,NA,18,NA,NA,NA,NA,NA
Rosario,Argentina,HIC,1193605,438730,NA,NA,15.2,NA,NA,NA,NA,NA,NA,89.19,NA,NA,58.38,4.93,1.4,11.31,13.55,11.68,NA,NA,NA,30,NA,NA,NA,NA
Ciudada AutÃ³noma De Buenos Aires (Caba).,Argentina,HIC,2981781,2532005,NA,NA,NA,NA,NA,NA,NA,14.42,7.2,61.5,16.88,NA,38,6,2,18,16,16,NA,NA,4,NA,NA,NA,NA,NA
Vanadzor,Armenia,UMC,86199,23596.97,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,10,NA,28,6,3.75,34.5,10,15.75,2,NA,NA,13,NA,124020,NA,NA
Spitak,Armenia,UMC,12881,2866,NA,NA,NA,NA,NA,NA,93.16,NA,NA,NA,6.84,NA,29.5,6.75,4,42.75,4.5,9.75,2.75,NA,NA,4,NA,NA,NA,NA
Pago Pago,American Samoa,UMC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19.7,3.4,7.9,25.6,26.4,12.8,4.2,NA,NA,NA,NA,NA,NA,NA
Perth,Australia,HIC,20359,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,40.1,6.8,3.5,22,15.2,8.2,NA,2,2.5,35,NA,NA,NA,NA
Melbourne,Australia,HIC,4203000,NA,NA,NA,NA,74.19,NA,NA,NA,NA,25.81,NA,NA,NA,68.21,3,NA,1,11.44,15.33,NA,NA,1.03,NA,NA,NA,NA,NA
Canberra,Australia,HIC,353626,350000,NA,NA,NA,28,NA,NA,NA,NA,70,NA,2,NA,47,7,5,15,22,4,NA,NA,NA,NA,NA,NA,NA,NA
Vienna,Austria,HIC,1741246,1036879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,8.3,3.6,16.8,37,2.9,NA,NA,NA,NA,NA,NA,NA,NA
Baku,Azerbaijan,UMC,2374000,1965922,NA,NA,NA,NA,24.21,NA,NA,NA,NA,36.36,49.22,NA,41.7,6.4,1.5,20.6,18.1,10.4,NA,1.4,NA,NA,NA,NA,NA,NA
Muyinga,Burundi,LIC,632409,5657.5,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kayanza,Burundi,LIC,585412,4015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ngozi,Burundi,LIC,39884,6752.5,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bujumbura,Burundi,LIC,412000,210532,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brussels,Belgium,HIC,1154635,469559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,20,35,11,NA,NA,12,NA,NA,NA,NA,NA
Liege,Belgium,HIC,1020579,525300,NA,3,14,NA,26,NA,NA,NA,53,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porto Novo,Benin,LIC,600000,109500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotonou,Benin,LIC,642000,258420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.24,0.86,1.13,29.62,3.96,4.43,0.22,1.54,NA,NA,NA,NA,NA,NA
Bobo Dioulasso,Burkina Faso,LIC,365000,90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ouagadougou,Burkina Faso,LIC,1328000,315068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,3,4,35,9,10,NA,NA,NA,10,NA,NA,NA,NA
Patuakhali,Bangladesh,LMC,65000,5220,NA,NA,NA,NA,NA,NA,55.45,NA,4.55,NA,40,NA,84.37,0.63,0.4,5.95,3.1,2.89,1.06,0,1.61,NA,NA,NA,NA,NA
Chittagong,Bangladesh,LMC,2581643,320380,NA,NA,0.42,NA,NA,NA,29.17,NA,12.41,NA,58,NA,79.03,0.22,1.04,6.08,3.6,7.21,2.09,0,0.72,NA,NA,NA,NA,NA
Rangpur,Bangladesh,LMC,294265,25992,NA,NA,NA,NA,NA,NA,27.16,NA,4.84,NA,68,NA,76.68,0.59,0.5,12.74,2.81,4.55,0.74,0,1.41,NA,NA,NA,NA,NA
Dhaka,Bangladesh,LMC,5700000,1424689,NA,NA,NA,NA,NA,NA,43.5,43,13.5,NA,NA,NA,78.87,4.085,4.085,4.57,4.29,4.1,NA,NA,NA,10,NA,NA,NA,NA
Rajshahi,Bangladesh,LMC,448087,40069.7,NA,NA,NA,NA,NA,NA,67.29,NA,4.71,NA,28,NA,81.96,0.3,0.04,9.91,2.64,4.05,0.42,NA,0.66,8,NA,NA,NA,NA
Ruse,Bulgaria,UMC,144936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burgas,Bulgaria,UMC,202766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manama,Bahrain,HIC,411000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banja Luka,Bosnia and Herzegovina,UMC,180053,65941,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,34.2,4.9,6.6,16.3,10.8,22.3,0.9,4.1,NA,13,NA,NA,NA,NA
